party_identifier,event_count,rera_complaint_count,mutation_rejection_count,cpgrams_escalation_count,cersai_flag_count,avg_days_between_events,multi_portal_escalation_score,events_last_30_days,events_last_60_days,state,district,predicted_dispute_type,label
PID-42276,2,0,1,0,0,78.0,0.4,1,1,Kerala,Thiruvananthapuram,property_boundary,0
PID-77702,1,0,0,0,0,999,0.2,1,1,Madhya Pradesh,Gwalior,family_inheritance,0
PID-53734,2,0,0,0,0,33.0,0.2,1,2,Telangana,Nizamabad,property_boundary,0
PID-99862,1,0,1,0,0,999,0.2,1,1,Kerala,Kannur,property_ownership,0
PID-93740,1,1,0,0,0,999,0.2,1,1,Uttar Pradesh,Varanasi,property_ownership,0
PID-81618,4,1,1,0,0,14.0,0.6,1,3,Punjab,Patiala,rent_tenancy,1
PID-57251,3,0,1,0,0,56.0,0.6,1,2,Kerala,Thrissur,property_ownership,0
PID-43150,6,0,0,1,1,11.4,0.4,1,3,Bihar,Bhagalpur,neighbourhood,1
PID-52684,2,1,0,1,0,30.0,0.4,1,2,Bihar,Patna,rent_tenancy,0
PID-85452,3,0,1,0,1,43.5,0.4,1,2,Bihar,Bhagalpur,property_ownership,0
PID-20673,3,1,1,0,0,7.5,0.6,3,3,West Bengal,Asansol,property_ownership,1
PID-93397,6,1,2,2,0,18.2,0.8,2,3,Rajasthan,Jodhpur,property_boundary,1
PID-34902,3,0,0,0,1,46.0,0.4,1,2,Karnataka,Mangaluru,contract_breach,0
PID-49627,2,0,0,0,0,75.0,0.4,1,1,Haryana,Faridabad,contract_breach,0
PID-44664,1,1,0,0,0,999,0.2,1,1,Delhi,South Delhi,rent_tenancy,0
PID-20665,5,1,0,0,1,15.8,0.6,1,3,Madhya Pradesh,Ujjain,rent_tenancy,1
PID-38437,8,1,1,0,1,14.0,0.8,2,4,Delhi,South Delhi,property_boundary,1
PID-16445,4,1,1,0,0,12.7,0.8,2,4,Gujarat,Rajkot,rent_tenancy,1
PID-63868,3,0,0,1,0,53.0,0.2,1,1,Uttar Pradesh,Lucknow,consumer,0
PID-81717,5,1,0,1,0,15.0,0.8,2,4,West Bengal,Howrah,property_ownership,1
PID-24610,4,1,0,1,0,12.0,0.8,1,3,Uttar Pradesh,Varanasi,property_ownership,1
PID-20604,3,0,1,0,0,77.5,0.4,1,1,West Bengal,Howrah,property_boundary,0
PID-69138,5,3,1,0,0,16.5,0.6,1,2,Punjab,Jalandhar,property_ownership,1
PID-17059,2,0,0,0,0,42.0,0.4,1,2,Rajasthan,Kota,employment,0
PID-44227,3,2,0,0,0,17.5,0.4,1,3,Tamil Nadu,Tiruchirappalli,rent_tenancy,1
PID-42191,4,1,0,0,0,11.3,0.6,2,4,Telangana,Warangal,rent_tenancy,1
PID-58313,2,1,0,0,0,53.0,0.4,1,2,Rajasthan,Kota,property_boundary,0
PID-38250,3,0,0,0,0,51.5,0.4,1,2,Tamil Nadu,Chennai,employment,0
PID-22791,1,1,0,0,0,999,0.2,1,1,Punjab,Chandigarh,property_boundary,0
PID-61419,5,1,1,0,1,8.0,0.8,3,5,Kerala,Kannur,property_boundary,1
PID-75015,3,0,1,0,1,55.5,0.4,1,2,Kerala,Thiruvananthapuram,rent_tenancy,0
PID-87386,2,0,1,0,1,84.0,0.4,1,1,Kerala,Kozhikode,property_boundary,0
PID-80157,6,2,0,1,0,10.4,0.8,3,6,Delhi,West Delhi,property_boundary,1
PID-66492,2,1,0,0,0,58.0,0.4,1,1,Bihar,Bhagalpur,rent_tenancy,0
PID-88224,2,1,0,0,0,83.0,0.4,1,1,Madhya Pradesh,Indore,property_ownership,0
PID-49711,3,1,2,0,0,58.5,0.4,1,1,Punjab,Jalandhar,property_boundary,0
PID-95054,6,0,0,1,0,15.0,0.8,1,2,Madhya Pradesh,Gwalior,other_civil,1
PID-40266,3,0,0,1,1,16.5,0.2,2,3,Andhra Pradesh,Nellore,consumer,1
PID-95763,2,0,1,0,0,83.0,0.4,1,1,Haryana,Gurugram,property_boundary,0
PID-55994,3,1,1,1,0,46.5,0.6,1,2,Rajasthan,Jaipur,rent_tenancy,0
PID-56831,3,1,0,0,0,78.0,0.4,1,1,Tamil Nadu,Tiruchirappalli,rent_tenancy,0
PID-60259,1,0,0,1,0,999,0.2,1,1,Andhra Pradesh,Guntur,other_civil,0
PID-67381,1,0,1,0,0,999,0.2,1,1,West Bengal,Durgapur,rent_tenancy,0
PID-63177,2,0,0,0,1,35.0,0.4,1,2,Tamil Nadu,Madurai,contract_breach,0
PID-77053,3,0,0,0,1,36.5,0.4,1,2,Delhi,North Delhi,money_loan,0
PID-77465,8,2,0,0,1,16.9,0.8,2,3,Rajasthan,Kota,property_ownership,1
PID-78390,6,0,0,1,2,9.2,0.4,3,6,Rajasthan,Ajmer,other_civil,1
PID-27878,2,0,0,0,2,82.0,0.4,1,1,Uttar Pradesh,Agra,consumer,0
PID-50202,4,0,0,0,0,15.0,0.6,1,4,Rajasthan,Jodhpur,contract_breach,1
PID-56006,1,0,0,1,0,999,0.2,1,1,Uttar Pradesh,Noida,other_civil,0
PID-88726,6,2,0,3,0,15.2,0.6,2,3,West Bengal,Howrah,property_ownership,1
PID-75381,3,0,0,1,0,73.0,0.6,1,1,Kerala,Kochi,neighbourhood,0
PID-88210,1,0,0,0,1,999,0.2,1,1,West Bengal,Durgapur,property_boundary,0
PID-75176,2,0,0,0,0,60.0,0.4,1,1,Haryana,Gurugram,property_ownership,0
PID-52957,3,1,0,0,0,54.0,0.6,1,1,Kerala,Kochi,property_boundary,0
PID-95846,3,0,0,1,1,56.0,0.6,1,1,Kerala,Kozhikode,other_civil,0
PID-28124,7,1,1,1,1,13.3,0.8,1,3,Bihar,Muzaffarpur,rent_tenancy,1
PID-82063,4,1,0,0,0,16.3,0.6,2,3,Tamil Nadu,Salem,property_boundary,1
PID-41460,7,1,1,1,1,13.3,0.8,2,4,Bihar,Gaya,rent_tenancy,1
PID-59766,5,2,0,0,0,7.8,0.6,2,5,Andhra Pradesh,Vijayawada,property_boundary,1
PID-46306,8,1,1,2,1,14.7,0.8,2,5,Delhi,Central Delhi,property_boundary,1
PID-17434,1,0,0,0,0,999,0.2,1,1,Telangana,Nizamabad,property_boundary,0
PID-97241,1,0,0,0,0,999,0.2,1,1,Kerala,Kochi,property_boundary,0
PID-71211,3,0,0,0,0,60.5,0.4,1,1,Kerala,Kannur,family_inheritance,0
PID-70161,5,0,2,0,0,19.0,0.6,2,3,Haryana,Panipat,property_ownership,1
PID-79132,8,2,0,0,0,16.1,0.8,1,3,Gujarat,Ahmedabad,rent_tenancy,1
PID-58884,1,0,0,0,0,999,0.2,1,1,Uttar Pradesh,Varanasi,consumer,0
PID-94980,1,1,0,0,0,999,0.2,1,1,Karnataka,Bengaluru Urban,property_boundary,0
PID-54713,7,0,2,3,1,19.3,0.6,1,2,Karnataka,Bengaluru Urban,property_boundary,1
PID-51681,6,1,3,1,0,9.8,0.8,2,6,Maharashtra,Nashik,property_ownership,1
PID-26725,2,1,0,0,0,72.0,0.4,1,1,Uttar Pradesh,Lucknow,property_ownership,0
PID-77539,2,0,0,1,0,36.0,0.4,1,2,Tamil Nadu,Chennai,other_civil,0
PID-42252,2,0,0,0,0,31.0,0.4,1,2,Gujarat,Rajkot,consumer,0
PID-23396,3,0,1,0,0,9.0,0.4,3,3,Delhi,North Delhi,rent_tenancy,1
PID-15250,2,0,1,0,0,61.0,0.4,1,1,West Bengal,Kolkata,property_ownership,0
PID-81711,3,1,0,0,0,75.5,0.6,1,1,Gujarat,Surat,property_boundary,0
PID-89717,3,0,1,0,0,16.5,0.6,2,3,Karnataka,Bengaluru Urban,property_ownership,1
PID-96351,1,0,1,0,0,999,0.2,1,1,Kerala,Kannur,rent_tenancy,0
PID-25744,1,0,0,0,0,999,0.2,1,1,Gujarat,Vadodara,other_civil,0
PID-12126,2,1,0,0,0,33.0,0.4,1,2,Maharashtra,Mumbai,property_ownership,0
PID-39576,8,1,1,1,1,14.1,0.8,2,5,Haryana,Faridabad,property_boundary,1
PID-39233,8,2,3,1,0,14.9,0.8,3,5,Madhya Pradesh,Bhopal,property_ownership,1
PID-88238,6,0,1,0,1,8.6,0.8,3,6,Punjab,Chandigarh,property_ownership,1
PID-28801,2,0,0,0,1,74.0,0.4,1,1,Punjab,Ludhiana,property_boundary,0
PID-62762,3,0,0,0,0,74.0,0.4,1,1,Karnataka,Bengaluru Urban,contract_breach,0
PID-50683,5,3,0,0,0,17.0,0.6,1,3,Karnataka,Belagavi,rent_tenancy,1
PID-78280,6,1,2,2,0,13.2,0.8,3,4,Madhya Pradesh,Ujjain,property_boundary,1
PID-13618,2,0,0,0,0,39.0,0.2,1,1,Kerala,Kozhikode,family_inheritance,0
PID-60576,7,1,0,2,0,17.2,0.8,2,4,Madhya Pradesh,Ujjain,rent_tenancy,1
PID-34084,3,1,0,0,1,84.5,0.4,1,1,Gujarat,Surat,property_ownership,0
PID-44228,5,0,1,2,0,15.0,0.6,1,2,Maharashtra,Nagpur,rent_tenancy,1
PID-46424,2,0,0,2,0,51.0,0.4,1,2,Bihar,Patna,neighbourhood,0
PID-98510,5,1,2,1,0,8.0,0.6,3,5,Gujarat,Ahmedabad,property_ownership,1
PID-66310,3,0,1,0,1,57.0,0.4,1,2,Gujarat,Vadodara,rent_tenancy,0
PID-48270,2,0,0,0,0,45.0,0.2,1,2,Delhi,North Delhi,property_boundary,0
PID-85191,8,2,2,2,1,13.6,0.8,1,4,Uttar Pradesh,Noida,property_boundary,1
PID-64044,4,0,0,0,0,16.7,0.4,2,3,Telangana,Warangal,neighbourhood,1
PID-86385,1,0,0,0,0,999,0.2,1,1,Andhra Pradesh,Visakhapatnam,contract_breach,0
PID-94634,1,0,0,0,1,999,0.2,1,1,Uttar Pradesh,Noida,other_civil,0
PID-65013,7,2,0,1,0,13.7,0.8,1,2,Haryana,Ambala,property_ownership,1
PID-97086,3,0,1,0,0,55.5,0.6,1,1,Rajasthan,Ajmer,property_ownership,0
PID-23096,3,0,0,0,0,55.0,0.4,1,1,Karnataka,Belagavi,rent_tenancy,0
PID-74711,2,0,1,0,0,82.0,0.2,1,1,Uttar Pradesh,Noida,property_boundary,0
PID-10771,3,1,0,1,1,62.0,0.4,1,1,Uttar Pradesh,Lucknow,property_ownership,0
PID-90613,3,0,0,0,1,45.5,0.4,1,2,Uttar Pradesh,Lucknow,contract_breach,0
PID-88138,1,0,0,1,0,999,0.2,1,1,Andhra Pradesh,Tirupati,neighbourhood,0
PID-33850,4,0,0,1,1,10.3,0.6,1,4,Andhra Pradesh,Nellore,neighbourhood,1
PID-50075,1,0,0,0,0,999,0.2,1,1,West Bengal,Asansol,neighbourhood,0
PID-24295,1,1,0,0,0,999,0.2,1,1,Delhi,West Delhi,rent_tenancy,0
PID-58030,5,1,1,0,0,13.5,0.8,1,4,Bihar,Muzaffarpur,property_ownership,1
PID-70004,3,1,0,0,0,41.5,0.6,1,2,Bihar,Muzaffarpur,rent_tenancy,0
PID-55670,1,0,1,0,0,999,0.2,1,1,Delhi,East Delhi,rent_tenancy,0
PID-31573,2,0,0,0,0,75.0,0.4,1,1,West Bengal,Durgapur,neighbourhood,0
PID-42519,2,0,1,0,0,78.0,0.4,1,1,Madhya Pradesh,Gwalior,rent_tenancy,0
PID-13373,3,0,2,0,0,86.5,0.4,1,1,Punjab,Chandigarh,rent_tenancy,0
PID-58712,2,1,0,0,1,69.0,0.4,1,1,Gujarat,Surat,property_ownership,0
PID-63934,2,1,0,0,0,53.0,0.4,1,1,Uttar Pradesh,Agra,property_boundary,0
PID-67771,2,2,0,0,0,43.0,0.2,1,1,Gujarat,Gandhinagar,property_boundary,0
PID-18649,2,1,1,0,0,90.0,0.4,1,1,Punjab,Chandigarh,rent_tenancy,0
PID-35993,2,0,1,0,0,32.0,0.4,1,2,Punjab,Amritsar,property_boundary,0
PID-50918,3,1,0,1,1,45.5,0.6,1,2,Kerala,Thiruvananthapuram,rent_tenancy,0
PID-81243,6,1,4,1,0,12.6,0.8,1,4,Maharashtra,Pune,rent_tenancy,1
PID-40891,3,0,0,1,0,69.0,0.4,1,1,Haryana,Faridabad,consumer,0
PID-73781,3,0,1,1,1,62.0,0.6,1,1,Gujarat,Vadodara,rent_tenancy,0
PID-43149,5,1,1,0,0,13.2,0.6,1,4,Maharashtra,Thane,rent_tenancy,1
PID-91715,4,2,0,1,1,20.3,0.6,2,3,Madhya Pradesh,Ujjain,rent_tenancy,1
PID-57578,6,2,0,0,1,19.0,0.6,1,2,Bihar,Gaya,property_boundary,1
PID-43303,5,2,0,1,0,9.2,0.8,3,5,Rajasthan,Ajmer,property_ownership,1
PID-18714,2,0,1,0,0,75.0,0.4,1,1,West Bengal,Siliguri,property_ownership,0
PID-45949,5,2,0,0,0,14.5,0.8,2,4,Karnataka,Belagavi,property_boundary,1
PID-16730,3,1,0,0,1,44.5,0.6,1,1,Maharashtra,Nashik,property_ownership,0
PID-88569,3,0,0,0,0,57.5,0.4,1,1,Gujarat,Ahmedabad,money_loan,0
PID-21575,3,2,0,0,0,60.0,0.4,1,2,Tamil Nadu,Chennai,rent_tenancy,0
PID-91979,7,1,0,3,0,16.7,0.6,3,4,Rajasthan,Udaipur,rent_tenancy,1
PID-49390,2,1,1,0,0,45.0,0.4,1,2,Tamil Nadu,Tiruchirappalli,rent_tenancy,0
PID-24924,2,1,0,0,0,63.0,0.4,1,1,West Bengal,Durgapur,property_boundary,0
PID-65436,4,3,0,0,0,21.7,0.4,1,2,West Bengal,Howrah,rent_tenancy,1
PID-21184,4,1,0,0,1,15.7,0.6,2,3,Haryana,Panipat,property_boundary,1
PID-43419,2,1,0,0,0,54.0,0.4,1,1,Telangana,Karimnagar,rent_tenancy,0
PID-13406,7,3,0,0,1,16.7,0.6,1,2,West Bengal,Siliguri,rent_tenancy,1
PID-44303,2,0,1,0,0,62.0,0.4,1,1,Andhra Pradesh,Visakhapatnam,property_boundary,0
PID-81370,3,0,0,1,0,60.5,0.6,1,1,Kerala,Thrissur,other_civil,0
PID-81137,8,0,1,1,0,13.7,0.8,1,3,Kerala,Kozhikode,property_ownership,1
PID-66244,7,2,0,3,0,12.7,0.8,2,4,Telangana,Warangal,rent_tenancy,1
PID-47559,2,0,0,0,1,71.0,0.2,1,1,Bihar,Bhagalpur,money_loan,0
PID-70284,6,0,0,0,1,13.4,0.6,1,3,Tamil Nadu,Chennai,neighbourhood,1
PID-89076,3,0,0,0,1,10.0,0.6,3,3,Punjab,Amritsar,contract_breach,1
